Years from Founding,Xiaomi (2010),Block (2009),Beats (2006),Fitbit (2007),Peloton (2012),Anker (2011),DJI (2006),Ubiquiti (2005),Tesla (2003),GoPro (2002),Arista (2004),Sonos (2002),Rivian (2009),Roku (2002),
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0.85,0,0,0,0,0.01,0,0.02,0.01,0,0.01,0,0,0,
2,2,0.04,0.03,0.01,0,0.02,0,0.06,0.05,0.01,0.02,0.01,0,0,
3,5.2,0.2,0.15,0.01,0,0.05,0,0.07,0.12,0.04,0.06,0.03,0,0,
4,12.5,0.55,0.35,0.01,0,0.1,0,0.08,0.07,0.07,0.07,0.1,0,0,
5,12.5,0.85,0.5,0.08,0,0.2,0.01,0.14,0.02,0.09,0.09,0.2,0,0,
6,10,1.26,0.86,0.27,0.22,0.4,0.03,0.2,0.11,0.09,0.14,0.25,0,0.01,
7,18,1.71,1.2,0.75,0.44,0.5,0.13,0.35,0.12,0.12,0.19,0.25,0,0.03,
8,25.4,2.21,1.5,1.86,0.92,0.65,0.5,0.32,0.2,0.28,0.36,0.32,0,0.08,
9,29.8,3.3,1.8,2.17,1.83,0.9,1,0.57,0.41,0.23,0.36,0.55,0,0.1,
10,37.8,4.71,2,1.62,4.02,1.35,1.4,0.6,2.01,0.53,0.58,0.32,0,0.14,
11,50.9,9.5,2.2,1.51,3.58,1.94,2.5,0.67,3.2,0.99,0.84,0.54,0,0.28,
12,41.5,17.66,2.5,1.43,2.8,2.06,3.4,0.87,4.05,1.39,1.13,0.74,0.06,0.32,
13,38.2,17.53,2.5,1.32,2.7,2.5,3.6,1.02,7,1.62,1.65,0.84,1.66,0.32,
14,51.6,21.92,2,1.21,N/A,3.53,2.9,1.16,11.76,1.19,2.15,0.9,4.43,0.4,
15,N/A,24.12,2.5,1.1,N/A,N/A,4.2,1.28,21.46,1.18,2.41,0.99,4.97,0.51,
